aphia_id,scientific_name,weight,rank
148899,Bacillariophyceae,468.0,Class
19542,Dinophyceae,408.0,Class
148971,Coscinodiscophycidae,323.40000000000003,Subclass
582419,Harosa,288.0,Subkingdom
7,Chromista,280.0,Kingdom
345465,Ochrophyta,270.0,Phylum
576884,Khakista,257.40000000000003,Subphylum
146203,Dinoflagellata,239.2,Infraphylum
562620,Dinozoa,228.8,Subphylum
148985,Chaetoceros,209.0,Genus
450030,Myzozoa,208.0,Phylum
109391,Gonyaulacales,204.0,Order
494057,Tripos,198.0,Genus
148984,Chaetocerotaceae,176.0,Family
368898,Heterokonta,175.5,Infrakingdom
115057,Prymnesiophyceae,148.0,Class
109421,Ceratiaceae,144.0,Family
591197,Chaetocerotanae,144.0,Superorder
591186,Bacillariophycanae,138.0,Superorder
149068,Rhizosoleniaceae,136.0,Family
536209,Alveolata,135.20000000000002,Infrakingdom
593505,Chaetocerotanae incertae sedis,132.0,Order
109394,Peridiniales,120.0,Order
591196,Rhizosolenianae,102.0,Superorder
149067,Rhizosoleniales,102.0,Order
148902,Bacillariophycidae,96.60000000000001,Subclass
591199,Fragilariophycanae,96.0,Superorder
109462,Dinophysis,88.0,Genus
493820,Syracosphaerales,84.0,Order
109390,Dinophysiales,84.0,Order
591192,Biddulphianae,84.0,Superorder
231772,Dinophysaceae,80.0,Family
109528,Oxytoxum,77.0,Genus
109566,Prorocentrum,77.0,Genus
369190,Haptophyta,76.0,Phylum
149235,Hemiaulaceae,72.0,Family
109442,Prorocentraceae,72.0,Family
149002,Bacillariaceae,72.0,Family
148978,Fragilariophycidae,67.2,Subclass
109519,Gonyaulax,66.0,Genus
146199,Syracosphaeraceae,64.0,Family
115064,Calyptrosphaeraceae,64.0,Family
109432,Oxytoxaceae,64.0,Family
109428,Gonyaulacaceae,64.0,Family
109392,Gymnodiniales,60.0,Order
493821,Coccolithales,60.0,Order
109410,Gymnodiniaceae,56.0,Family
149309,Dactyliosolen,55.0,Genus
149234,Hemiaulales,54.0,Order
109396,Prorocentrales,54.0,Order
