aphia_id,scientific_name,weight,rank
293496,Teleostei,46.2,Subclass
10194,Actinopterygii,44.0,Gigaclass
843664,Actinopteri,44.0,Class
152352,Osteichthyes,26.4,Parvphylum
1828,Gnathostomata,25.299999999999997,Infraphylum
146419,Vertebrata,24.200000000000003,Subphylum
1821,Chordata,22.0,Phylum
106670,Pleocyemata,18.6,Suborder
1089,Eucarida,18.0,Superorder
1130,Decapoda,18.0,Order
267094,Gobiinae,16.4,Subfamily
2,Animalia,16.0,Kingdom
125546,Mugilidae,16.0,Family
125537,Gobiidae,16.0,Family
107380,Carcinus aestuarii,14,Species
127160,Solea solea,14,Species
127141,Platichthys flesus,14,Species
126977,Chelon labrosus,14,Species
107552,Crangon crangon,14,Species
126281,Anguilla anguilla,14,Species
126426,Engraulis encrasicolus,14,Species
272027,Atherina boyeri,14,Species
126975,Dicentrarchus labrax,14,Species
126942,Zosterisessor ophiocephalus,14,Species
141444,Sepia officinalis,14,Species
126425,Sprattus sprattus,14,Species
1086,Eumalacostraca,12.600000000000001,Subclass
106674,Caridea,12.6,Infraorder
151725,Mugiloidei,12.4,Suborder
845959,Multicrustacea,12.0,Superclass
1071,Malacostraca,12.0,Class
10331,Pleuronectiformes,12.0,Order
397228,Mugiliformes,12.0,Order
1517500,Gobiiformes,12.0,Order
10297,Clupeiformes,12.0,Order
106922,Carcinus,11.0,Genus
126132,Solea,11.0,Genus
126119,Platichthys,11.0,Genus
126030,Chelon,11.0,Genus
231748,Ruditapes,11.0,Genus
107007,Crangon,11.0,Genus
125999,Pomatoschistus,11.0,Genus
107032,Palaemon,11.0,Genus
125620,Anguilla,11.0,Genus
125724,Engraulis,11.0,Genus
125659,Atherina,11.0,Genus
126029,Dicentrarchus,11.0,Genus
126007,Zosterisessor,11.0,Genus
138477,Sepia,11.0,Genus
125723,Sprattus,11.0,Genus
