aphia_id,scientific_name,weight,rank
883,Polychaeta,66.0,Class
845959,Multicrustacea,42.0,Superclass
1071,Malacostraca,42.0,Class
1066,Crustacea,36.4,Subphylum
892,Phyllodocida,35.0,Order
754174,Errantia,31.0,Subclass
51,Mollusca,22.5,Phylum
1090,Peracarida,21.0,Superorder
105,Bivalvia,21.0,Class
154974,Canalipalpata,18.9,Infraclass
928,Nereidiformia,18.0,Suborder
183607,Scolecida,15.75,Infraclass
869602,Cardiida,14.0,Order
720708,Gammaroidea,13.5,Superfamily
324346,Nereidinae,11.5,Subfamily
22496,Nereididae,11.25,Family
909,Spioniformia,10.8,Suborder
1137,Cumacea,10.5,Order
889,Spionida,10.5,Order
382296,Euheterodonta,9.3,Subterclass
235,Tellinidae,9.0,Family
110380,Diastylidae,9.0,Family
931,Phyllodocidae,9.0,Family
106670,Pleocyemata,7.2,Suborder
926,Phyllodociformia,7.2,Suborder
900,Terebellida,7.0,Order
102101,Corophium volutator,5.5,Species
130357,Nephtys cirrosa,5.5,Species
339374,Nereis diversicolor,5.5,Species
141579,Macoma balthica,5.5,Species
140380,Mysella bidentata,5.5,Species
155177,Tharyx marioni,5.5,Species
140126,Hydrobia ulvae,5.5,Species
102317,Haustorius arenarius,5.5,Species
107381,Carcinus maenas,5.5,Species
131495,Lanice conchilega,5.5,Species
120020,Gastrosaccus spinifer,5.5,Species
120206,Schistomysis spiritus,5.5,Species
339379,Nereis succinea,5.5,Species
131170,Pygospio elegans,5.5,Species
103073,Bathyporeia sarsi,5.5,Species
103068,Bathyporeia pilosa,5.5,Species
118401,Eurydice,5.0,Genus
129425,Scoloplos,5.0,Genus
129370,Nephtys,5.0,Genus
138228,Mytilus,5.0,Genus
138186,Mysella,5.0,Genus
138081,Hydrobia,5.0,Genus
129626,Spiophanes,5.0,Genus
129211,Capitella,5.0,Genus
