IMIS_DasID,aphia_id
4221,118852
4221,102101
4221,130926
4221,130537
4221,130357
4221,141595
4221,339374
4221,110398
4221,140480
4221,141579
4221,140380
4221,138998
4221,155177
4221,140126
4221,131187
4221,129876
4221,107552
4221,141424
4221,102317
4221,101742
4221,107381
4221,131177
4221,131495
4221,130359
4221,120020
4221,120206
4221,130491
4221,147474
4221,2036
4221,141134
4221,152438
4221,339379
4221,131170
4221,101361
4221,103073
4221,129379
4221,130272
4221,130404
4221,130616
4221,103068
4221,129884
4221,140430
4221,129868
4221,129370
4221,238384
4221,110487
5609,107380
5609,127160
5609,127141
5609,126977
5609,231748
5609,107552
5609,125999
5609,107032
5609,125546
5609,126281
5609,126426
5609,272027
5609,126975
5609,126942
5609,141444
5609,126425
6451,110483
6451,152249
6451,146950
6451,506128
6451,140032
6451,130623
6451,125579
6451,152217
6451,101669
6451,100982
6451,131135
6451,111659
6451,1609
6451,111367
6451,712167
6451,129781
6451,799
6451,140627
6451,534781
6451,101981
6451,131321
6451,985
6451,140103
6451,130491
6451,931
6451,130523
6451,150520
6451,123776
6451,102720
6451,101489
6451,134599
6451,10194
6451,101930
6451,138223
6451,129710
6451,757970
6451,102036
6451,130131
6451,130738
6451,119898
6451,131170
6451,131193
6451,102611
6451,834002
6451,130128
6451,836020
6451,102408
6451,506025
6451,445590
6451,196385
6451,1564
6451,130616
6451,130722
6451,327985
6451,130407
6451,152316
6451,1130
6451,131074
6451,110467
6451,141433
6451,107742
6451,196003
6451,131180
6451,130613
6451,103228
6451,141690
6451,130578
6451,117228
6451,131543
6451,111669
6451,101891
6451,111878
6451,117909
6451,140199
6451,111354
6451,130375
6451,710680
6451,2
6451,130266
6451,117093
6451,107418
6451,130979
6451,105
6451,138802
6451,140405
6451,211
6451,123574
6451,140431
6451,103909
6451,107739
6451,140302
6451,136340
6451,130452
6451,130867
6451,111540
6451,137571
6451,102383
6451,117382
6451,140588
6451,131116
6451,101361
6451,118278
6451,129347
6451,102932
6451,125537
6451,129659
6451,111351
6451,140299
6451,139965
6451,103443
6451,111495
6451,146761
6451,140283
6451,129443
6451,123426
6451,139476
6451,236719
6451,102347
6451,141912
6451,129357
6451,138474
6451,130963
6451,111730
6451,982
6451,138998
6451,102367
6451,131106
6451,107302
6451,147021
6451,131183
6451,118995
6451,111421
6451,137349
6451,1268
6451,130041
6451,136135
6451,138760
6451,124319
6451,107273
6451,131077
6451,130353
6451,107479
6451,141883
6451,138159
6451,129938
6451,130330
6451,131495
6451,101734
6451,107276
6451,129906
6451,152448
6451,102916
6451,157583
6451,130195
6451,214
6451,131575
6451,117234
6451,107347
6451,558
6451,111020
6451,138339
6451,131100
6451,158351
6451,130359
6451,101933
6451,141767
6451,103788
6451,102377
6451,100880
6451,124670
6451,130103
6451,102798
6451,103058
6451,124850
6451,102351
6451,131073
6451,118218
6451,143691
6451,1762
6451,140462
6451,946
6451,107647
6451,130100
6451,110535
6451,102168
6451,125477
6451,134723
6451,117402
6451,103791
6451,111268
6451,130601
6451,152367
6451,107152
6451,129528
6451,111374
6451,981
6451,130604
6451,102795
6451,107232
6451,107518
6451,101567
6451,129785
6451,141908
6451,129370
6451,149668
6451,111795
6451,101908
6451,110481
6451,880017
6451,107155
6451,238198
6451,130707
6451,130967
6451,123456
6451,102345
6451,213
6451,102139
6451,1839
6451,130363
6451,923
6451,129155
6451,118086
6451,1100
6451,141320
6451,140301
6451,204
6451,111602
6451,555935
6451,123613
6451,103235
6451,107486
6451,124635
6451,140218
6451,101
6451,130537
6451,137570
6451,1360
6451,140687
6451,140584
6451,138878
6451,965
6451,266489
6451,129804
6451,131009
6451,868065
6451,128539
6451,107557
6451,988
6451,131327
6451,345281
6451,129595
6451,101898
6451,103759
6451,130749
6451,130357
6451,111496
6451,128545
6451,141741
6451,141134
6451,111676
6451,130116
6451,123083
6451,103029
6451,117890
6451,833990
6451,130980
6451,146532
6451,107322
6451,130977
6451,141651
6451,101445
6451,141365
6451,110445
6451,111355
6451,131160
6451,152248
6451,102364
6451,130662
6451,111249
6451,130974
6451,130270
6451,129955
6451,138823
6451,102570
6451,117386
6451,130948
6451,141799
6451,112299
6451,111091
6451,106477
6451,236495
6451,130636
6451,138582
6451,111721
6451,1820
6451,107473
6451,139604
6451,131157
6451,111011
6451,130762
6451,141436
6451,139106
6451,136063
6451,107007
6451,130794
6451,117913
6451,101471
6451,102788
6451,129884
6451,131507
6451,107319
6451,129778
6451,101368
6451,107239
6451,130585
6451,123160
6451,117103
6451,149
6451,105410
6451,111361
6451,136041
6451,100684
6451,138675
6451,101864
6451,151894
6451,110440
6451,1080
6451,181343
6451,111147
6451,140201
6451,130248
6451,122637
6451,118990
6451,131127
6451,129959
6451,103882
6451,140590
6451,110414
6451,334510
6451,107506
6451,130271
6451,117258
6451,125333
6451,102831
6451,333456
6451,834039
6451,103853
6451,107188
6451,140461
6451,141872
6451,111719
6451,131178
6451,111304
6451,131072
6451,101025
6451,117364
6451,106057
6451,130136
6451,123206
6451,123106
6451,138543
6451,129953
6451,118855
6451,102963
6451,131490
6451,129220
6451,138549
6451,130322
6451,107079
6451,137582
6451,107323
6451,141644
6451,147154
6451,131185
6451,129856
6451,106905
6451,141435
6451,140728
6451,117914
6451,130801
6451,607402
6451,129776
6451,102972
6451,154127
6451,742232
6451,107217
6451,125073
6451,122348
6451,131153
6451,130123
6451,102918
6451,123084
6451,129805
6451,139523
6451,110472
6451,1135
6451,111079
6451,834020
6451,111600
6451,111285
6451,129914
6451,129943
6451,102346
6451,136037
6451,130126
6451,101931
6451,106777
6451,145
6451,130624
6451,131188
6451,138636
6451,147026
6451,128549
6451,107072
6451,129840
6451,129625
6451,140577
6451,137916
6451,1337
6451,129898
6451,22496
6451,246148
6451,111690
6451,156376
6451,140432
6451,131169
6451,141033
6451,111796
6451,283798
6451,106738
6451,130711
6451,130113
6451,118437
6451,593521
6451,130316
6451,111484
6451,332932
6451,138228
6451,130920
6451,127219
6451,250081
6451,939
6451,135789
6451,146907
6451,834010
6451,131143
6451,119822
6451,126792
6451,107551
6451,919
6451,118216
6451,124465
6451,798770
6451,117824
6451,139012
6451,103509
6451,131458
6451,129892
6451,117804
6451,131715
6451,140082
6451,107387
6451,124462
6451,110851
6451,107313
6451,107651
6451,129789
6451,129837
6451,131500
6451,130544
6451,101928
6451,101742
6451,136458
6451,138379
6451,131117
6451,140291
6451,146952
6451,130075
6451,106889
6451,205077
6451,138691
6451,140365
6451,110398
6451,131394
6451,130888
6451,103792
6451,879714
6451,152276
6451,1070
6451,424332
6451,130467
6451,101857
6451,236130
6451,129475
6451,103060
6451,110829
6451,102960
6451,103166
6451,107729
6451,102748
6451,130763
6451,102064
6451,111032
6451,150534
6451,125064
6451,101958
6451,1137
6451,131573
6451,130683
