IMIS_DasID,aphia_id
1,1028887
1,126898
1,131508
1,140640
1,1059484
1,130002
1,1356579
1,106213
1,149643
1,152249
1,135168
1,117368
1,131143
1,1418139
1,123776
1,130867
1,252278
1,106223
1,395061
1,111158
1,1525992
1,117364
1,838906
1,869035
1,345532
1,130198
1,117328
1,837000
1,153847
1,145358
1,1361158
1,111343
1,149075
1,623384
1,156513
1,175420
1,712682
1,375856
1,1485757
1,495022
1,1466579
1,144086
1,494879
1,370143
1,236028
1,163277
1,577672
1,287714
1,495164
1,214242
1,371978
1,130734
1,1361154
1,341388
1,215310
1,170364
1,613134
1,211554
1,494863
1,214329
1,333101
1,145729
1,109170
1,1324799
1,1259253
1,118052
1,375916
1,396001
1,137481
1,624469
1,372607
1,1594583
1,374837
1,146016
1,506723
1,836033
1,330923
1,140658
1,122710
1,164900
1,238193
1,131494
1,117393
1,712167
1,130417
1,421138
1,170782
1,352304
1,117490
1,131542
1,169724
1,107418
1,157977
1,144457
1,115591
1,148592
1,376055
1,107188
1,111802
1,130686
1,206527
1,245445
1,374919
1,1022311
1,289551
1,151628
1,220772
1,623134
1,1492691
1,437491
1,594556
1,1361155
1,1070837
1,272205
1,708163
1,129702
1,130677
1,851603
1,421139
1,225814
1,564486
1,535477
1,111592
1,1729991
1,117389
1,100999
1,238200
1,149023
1,345281
1,1535596
1,395488
1,104847
1,577498
1,149004
1,738388
1,437997
1,117994
1,102432
1,126975
1,131495
1,124319
1,101864
1,238192
1,130770
1,103166
1,334512
1,621564
1,102433
1,142842
1,1252624
1,117644
1,103732
1,840518
1,375881
1,234042
1,177726
1,100982
1,157933
1,150457
1,1499802
1,1021447
1,610869
1,376361
1,101497
1,127007
1,165956
1,1713785
1,729875
1,148603
1,375680
1,489561
1,390270
1,117386
1,117385
1,117491
1,135306
1,117982
1,135304
1,117751
1,117870
1,141454
1,104012
1,165618
1,156699
1,766436
1,1493332
1,153482
1,422101
1,138963
1,142861
1,131531
1,1392925
1,139908
1,107398
1,1560189
1,578346
1,374236
1,490223
1,117824
1,238194
1,122626
1,122823
1,148934
1,371776
1,117778
1,139647
1,140687
1,1415554
1,371281
1,115906
1,1486516
1,157947
1,205694
1,376073
1,624510
1,373015
1,122817
1,135278
1,716341
1,100537
1,1337062
1,158230
1,283831
1,616809
1,149123
1,1135
1,117815
1,117754
1,148931
1,125131
1,156598
1,174921
1,111351
1,104496
1,375105
1,611232
1,102380
1,333026
1,295874
1,117373
1,122806
1,622670
1,212185
1,373192
1,1501345
1,22849
1,373467
1,707357
1,373557
1,103804
1,140481
1,1535609
1,103433
1,1359510
1,371643
1,104016
1,145887
1,851584
1,592867
1,120633
1,616367
1,149115
1,527759
1,156961
1,1315866
1,738387
1,210725
1,428662
1,1359032
1,136668
1,570836
1,130801
1,130988
1,1720899
1,140480
1,716065
1,451654
1,107190
1,131290
1,590566
1,115517
1,330068
1,117535
1,371899
1,1306213
1,156290
1,1731079
1,117517
1,103723
1,516455
1,145226
1,169314
1,1417617
1,139054
1,130601
1,134564
1,852852
1,285333
1,612430
1,145910
1,131328
1,117628
1,144440
1,104644
1,1039839
1,193466
1,111099
1,834016
1,1035266
1,120665
1,865834
1,145540
1,836896
