scientificname,aphiaid,rank,parent,children,directchildren
Aurelia,135263,Genus,1393118,0,0
Pelagia noctiluca,135305,Species,135262,0,0
Chrysaora hysoscella,135304,Species,135261,0,0
Mnemiopsis leidyi,106401,Species,106355,0,0
Leucothea multicornis,106398,Species,106352,0,0
Salpidae,137217,Family,137214,0,0
Carybdea marsupialis,135279,Species,135247,0,0
Cotylorhiza tuberculata,135297,Species,135255,0,0
Rhizostoma pulmo,135299,Species,135257,0,0
