scientificname,aphiaid,rank,parent,children,directchildren
Mollusca,51,Phylum,2,113,5
Cnidaria,1267,Phylum,2,33,2
Bryozoa,146142,Phylum,2,48,2
Nematoda,799,Phylum,2,0,0
Echinodermata,1806,Phylum,2,25,2
Porifera,558,Phylum,2,2,2
Entoprocta,1271,Phylum,2,2,2
Nemertea,152391,Phylum,2,2,2
Platyhelminthes,793,Phylum,2,0,0
Crustacea,1066,Subphylum,1065,153,3
Polychaeta,883,Class,882,220,3
Sipuncula,1268,Order,882,6,2
Enteropneusta,1820,Class,1818,0,0
Collembola,118086,Class,1278,0,0
Ascidiacea,1839,Class,146420,11,3
Oligochaeta,2036,Subclass,14165,4,2
Teleostei,293496,Subclass,843664,6,5
Eupantopodida,379601,Suborder,1358,4,3
Sagitta,105410,Genus,5953,0,0
Astrorhiza,112299,Genus,111958,0,0
Phoronis muelleri,128549,Species,128545,0,0
Lagotia viridis,111878,Species,111851,0,0
Corallinaceae,143691,Family,15308,0,0
