aphia_id,RankName,ScientificName,ScientificNameAuthor,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,ScientificNameWithAuthor
5,Kingdom,Protozoa,"Owen, 1858",Protozoa,,,,,,,,,"Protozoa Owen, 1858"
25,Order,Choanoflagellida,"Kent, 1880",Protozoa,Sarcomastigophora,Zoomastigophora,Choanoflagellida,,,,,,"Choanoflagellida Kent, 1880"
802,Class,Chlorophyceae,"Wille, 1884",Plantae,Chlorophyta,Chlorophyceae,,,,,,,"Chlorophyceae Wille, 1884"
17329,Class,Prasinophyceae,"T. Christensen ex Ø. Moestrup & J. Throndsen, 1988",Plantae,Chlorophyta,Prasinophyceae,,,,,,,"Prasinophyceae T. Christensen ex Ø. Moestrup & J. Throndsen, 1988"
17639,Class,Cryptophyceae,"Fritsch, 1927",Chromista,Cryptophyta,Cryptophyceae,,,,,,,"Cryptophyceae Fritsch, 1927"
19542,Class,Dinophyceae,"Fritsch, 1927",Chromista,Myzozoa,Dinophyceae,,,,,,,"Dinophyceae Fritsch, 1927"
109458,Genus,Pseliodinium,"Sournia, 1972",Chromista,Myzozoa,Dinoflagellata incertae sedis,,,Pseliodinium,,,,"Pseliodinium Sournia, 1972"
109462,Genus,Dinophysis,"Ehrenberg, 1839",Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Dinophysis,,,,"Dinophysis Ehrenberg, 1839"
109463,Genus,Histioneis,"Stein, 1883",Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Histioneis,,,,"Histioneis Stein, 1883"
109466,Genus,Phalacroma,"Stein, 1883",Chromista,Myzozoa,Dinophyceae,Dinophysiales,Oxyphysaceae,Phalacroma,,,,"Phalacroma Stein, 1883"
109470,Genus,Alexandrium,"Halim, 1960",Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,,,,"Alexandrium Halim, 1960"
109473,Genus,Amphidinium,"Claperède & Lachmann, 1859",Chromista,Myzozoa,Dinophyceae,Amphidiniales,Amphidiniaceae,Amphidinium,,,,"Amphidinium Claperède & Lachmann, 1859"
109474,Genus,Cochlodinium,"Schütt, 1896",Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Cochlodinium,,,,"Cochlodinium Schütt, 1896"
109475,Genus,Gymnodinium,"F. Stein, 1878",Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,,,,"Gymnodinium F. Stein, 1878"
109476,Genus,Gyrodinium,"Kofoid & Swezy, 1921",Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,,,,"Gyrodinium Kofoid & Swezy, 1921"
109487,Genus,Pronoctiluca,"Fabre-Domergue, 1889",Chromista,Myzozoa,Dinophyceae,Noctilucales,Protodiniferaceae,Pronoctiluca,,,,"Pronoctiluca Fabre-Domergue, 1889"
109507,Genus,Ceratocorys,"Stein, 1883",Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratocoryaceae,Ceratocorys,,,,"Ceratocorys Stein, 1883"
109508,Genus,Ceratoperidinium,"Margalef ex A.R.Loeblich, III, 1980",Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Warnowiaceae,Ceratoperidinium,,,,"Ceratoperidinium Margalef ex A.R.Loeblich, III, 1980"
109515,Genus,Diplopsalis,"Bergh, 1881",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Diplopsalis,,,,"Diplopsalis Bergh, 1881"
109519,Genus,Gonyaulax,"Diesing, 1866",Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,,,,"Gonyaulax Diesing, 1866"
109526,Genus,Centrodinium,"Kofoid, 1907",Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Centrodinium,,,,"Centrodinium Kofoid, 1907"
109527,Genus,Corythodinium,"Loeblich Jr. & Loeblich III, 1966",Chromista,Myzozoa,Dinophyceae,Peridiniales,Oxytoxaceae,Corythodinium,,,,"Corythodinium Loeblich Jr. & Loeblich III, 1966"
109528,Genus,Oxytoxum,"Stein, 1883",Chromista,Myzozoa,Dinophyceae,Peridiniales,Oxytoxaceae,Oxytoxum,,,,"Oxytoxum Stein, 1883"
