scientificname,aphiaid,rank,parent,children,directchildren
Chlorophyta,801,Phylum (Division),368663,9,3
Prymnesiophyceae,115057,Class,369190,36,8
Cryptophyceae,17639,Class,17638,0,0
Cyanophyceae,146542,Class,146537,0,0
Euglenoidea,582177,Class,536202,0,0
Dinophyceae,19542,Class,146203,101,12
Acanthosolenia,602985,Genus,369191,0,0
Choanoflagellida,25,Order,24,0,0
Coscinodiscophycidae,148971,Subclass,148899,76,8
Chromulinales,248107,Order,146230,5,2
Bacillariophycanae,591186,Superorder,148902,23,7
Fragilariophycanae,591199,Superorder,148978,16,7
Dictyochaceae,157257,Family,157256,6,3
Apedinella,248096,Genus,160598,0,0
Pseliodinium fusus,1474876,Species,109458,0,0
Raphidosphaera tenerrima,708245,Species,707624,0,0
Leucocryptos marina,119077,Species,17651,0,0
Ebria tripartita,118051,Species,118014,0,0
Hermesinum adriaticum,573880,Species,478559,0,0
Rhynchomonas nasuta,146163,Species,146161,0,0
Paulinella ovalis,136903,Species,136779,0,0
Commation cryoporinum,567049,Species,567048,0,0
Meringosphaera mediterranea,248129,Species,115075,0,0
