aphia_id,RankName,ScientificName,ScientificNameAuthor,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,ScientificNameWithAuthor
2036,Subclass,Oligochaeta,"Grube, 1850",Animalia,Annelida,Clitellata,,,,,,,"Oligochaeta Grube, 1850"
101361,Family,Caprellidae,"Leach, 1814",Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,,,,,"Caprellidae Leach, 1814"
101742,Genus,Bathyporeia,"Lindström, 1855",Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,,,,"Bathyporeia Lindström, 1855"
102101,Species,Corophium volutator,"(Pallas, 1766)",Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,,volutator,,"Corophium volutator Pallas, 1766"
102317,Species,Haustorius arenarius,"(Slabber, 1769)",Animalia,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Haustorius,,arenarius,,"Haustorius arenarius Slabber, 1769"
103068,Species,Bathyporeia pilosa,"Lindström, 1855",Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,,pilosa,,"Bathyporeia pilosa Lindström, 1855"
103073,Species,Bathyporeia sarsi,"Watkin, 1938",Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,,sarsi,,"Bathyporeia sarsi Watkin, 1938"
107381,Species,Carcinus maenas,"(Linnaeus, 1758)",Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,,maenas,,"Carcinus maenas Linnaeus, 1758"
107552,Species,Crangon crangon,"(Linnaeus, 1758)",Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,,crangon,,"Crangon crangon Linnaeus, 1758"
110398,Genus,Diastylis,"Say, 1818",Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,,,,"Diastylis Say, 1818"
110487,Species,Diastylis rathkei,"(Krøyer, 1841)",Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,,rathkei,,"Diastylis rathkei Krøyer, 1841"
118852,Species,Eurydice pulchra,"Leach, 1815",Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Eurydice,,pulchra,,"Eurydice pulchra Leach, 1815"
120020,Species,Gastrosaccus spinifer,"(Goës, 1864)",Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Gastrosaccus,,spinifer,,"Gastrosaccus spinifer Goës, 1864"
120206,Species,Schistomysis spiritus,"(Norman, 1860)",Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Schistomysis,,spiritus,,"Schistomysis spiritus Norman, 1860"
129370,Genus,Nephtys,"Cuvier, 1817",Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,,,"Nephtys Cuvier, 1817"
129379,Genus,Nereis,"Linnaeus, 1758",Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,,,,"Nereis Linnaeus, 1758"
129868,Species,Arenicola marina,"(Linnaeus, 1758)",Animalia,Annelida,Polychaeta,,Arenicolidae,Arenicola,,marina,,"Arenicola marina Linnaeus, 1758"
129876,Species,Capitella capitata,"(Fabricius, 1780)",Animalia,Annelida,Polychaeta,,Capitellidae,Capitella,,capitata,,"Capitella capitata Fabricius, 1780"
129884,Species,Heteromastus filiformis,"(Claparède, 1864)",Animalia,Annelida,Polychaeta,,Capitellidae,Heteromastus,,filiformis,,"Heteromastus filiformis Claparède, 1864"
130272,Species,Magelona papillicornis,"F. Müller, 1858",Animalia,Annelida,Polychaeta,,Magelonidae,Magelona,,papillicornis,,"Magelona papillicornis F. Müller, 1858"
130357,Species,Nephtys cirrosa,"Ehlers, 1868",Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,cirrosa,,"Nephtys cirrosa Ehlers, 1868"
130359,Species,Nephtys hombergii,"Savigny in Lamarck, 1818",Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,hombergii,,"Nephtys hombergii Savigny in Lamarck, 1818"
130404,Species,Nereis pelagica,"Linnaeus, 1758",Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,,pelagica,,"Nereis pelagica Linnaeus, 1758"
130491,Species,Ophelia borealis,"Quatrefages, 1866",Animalia,Annelida,Polychaeta,,Opheliidae,Ophelia,,borealis,,"Ophelia borealis Quatrefages, 1866"
130537,Species,Scoloplos armiger,"(Müller, 1776)",Animalia,Annelida,Polychaeta,,Orbiniidae,Scoloplos,,armiger,,"Scoloplos armiger Müller, 1776"
130616,Species,Eteone longa,"(Fabricius, 1780)",Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,,longa,,"Eteone longa Fabricius, 1780"
130926,Species,Manayunkia aestuarina,"(Bourne, 1883)",Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,Manayunkia,,aestuarina,,"Manayunkia aestuarina Bourne, 1883"
131170,Species,Pygospio elegans,"Claparède, 1863",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pygospio,,elegans,,"Pygospio elegans Claparède, 1863"
131177,Species,Scolelepis squamata,"(Müller, 1806)",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,,squamata,,"Scolelepis squamata Müller, 1806"
131187,Species,Spiophanes bombyx,"(Claparède, 1870)",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,bombyx,,"Spiophanes bombyx Claparède, 1870"
131495,Species,Lanice conchilega,"(Pallas, 1766)",Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Lanice,,conchilega,,"Lanice conchilega Pallas, 1766"
138998,Species,Cerastoderma edule,"(Linnaeus, 1758)",Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Cerastoderma,,edule,,"Cerastoderma edule Linnaeus, 1758"
140126,Species,Hydrobia ulvae,"(Pennant, 1777)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Hydrobia,,ulvae,,"Hydrobia ulvae Pennant, 1777"
140380,Species,Mysella bidentata,"(Montagu, 1803)",Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Mysella,,bidentata,,"Mysella bidentata Montagu, 1803"
140430,Species,Mya arenaria,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,Myida,Myidae,Mya,,arenaria,,"Mya arenaria Linnaeus, 1758"
140480,Species,Mytilus edulis,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,edulis,,"Mytilus edulis Linnaeus, 1758"
141134,Species,Retusa obtusa,"(Montagu, 1803)",Animalia,Mollusca,Gastropoda,Cephalaspidea,Retusidae,Retusa,,obtusa,,"Retusa obtusa Montagu, 1803"
141424,Species,Scrobicularia plana,"(da Costa, 1778)",Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Scrobicularia,,plana,,"Scrobicularia plana da Costa, 1778"
141579,Species,Macoma balthica,"(Linnaeus, 1758)",Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,,balthica,,"Macoma balthica Linnaeus, 1758"
141595,Species,Tellina tenuis,"da Costa, 1778",Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Tellina,,tenuis,,"Tellina tenuis da Costa, 1778"
147474,Species,Cumopsis goodsiri,"(Van Beneden, 1851)",Animalia,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Cumopsis,,goodsiri,,"Cumopsis goodsiri Van Beneden, 1851"
152438,Species,Anaitides maculata,"(Linnaeus, 1767)",Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Anaitides,,maculata,,"Anaitides maculata Linnaeus, 1767"
155177,Species,Tharyx marioni,"(Saint-Joseph, 1894)",Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Tharyx,,marioni,,"Tharyx marioni Saint-Joseph, 1894"
238384,Species,Nereis virens,"Sars, 1835",Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,,virens,,"Nereis virens Sars, 1835"
339374,Species,Nereis diversicolor,"Müller, 1776",Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,,diversicolor,,"Nereis diversicolor Müller, 1776"
339379,Species,Nereis succinea,"Leuckart, 1847",Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,,succinea,,"Nereis succinea Leuckart, 1847"
aphia_id,RankName,ScientificName,ScientificNameAuthor,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,ScientificNameWithAuthor
2,Kingdom,Animalia,,Animalia,,,,,,,,,Animalia
51,Phylum,Mollusca,,Animalia,Mollusca,,,,,,,,Mollusca
